"","Drug","ClogP","BSEP","Glu","Glu_Gal","THLE","HepG2","vDILIConcern","Fsp3","log10cmax","dili_sev"
"1","Guanethidine",-0.516960221843708,2.17223108561004,-1.48663729069892,-0.535246568885864,0.669205824150197,-1.28072496857852,"No-DILI-Concern",2.1129923388793,-1.35709724346402,1
"2","Liothyronine",-0.0737541807608687,-0.684923891794502,0.659163741242384,-0.24160435401098,0.508502594347976,0.939521132663514,"No-DILI-Concern",-1.0262400063578,-1.08060476640586,1
"3","Protriptyline Hydrochloride",0.701596090013652,2.17223108561004,-2.01281869476312,-0.339485092302608,-1.02845457087668,-1.43598322612329,"No-DILI-Concern",-0.494166727504055,-0.371664477900068,1
"4","Hydroxyzine",0.399646790293942,2.17223108561004,-1.89579270381968,-0.143723615719352,-1.17776156129868,-1.47134304629005,"No-DILI-Concern",0.185249920878421,-0.877790905189679,1
"5","Betaine",-2.43520594546536,0.275515818176048,0.659163741242384,-0.0458428774277245,0.924122180302529,0.939521132663514,"No-DILI-Concern",1.7037052012995,1.24471056985644,1
"6","Esmolol",-0.39132154770746,0.275515818176048,0.659163741242384,-0.24160435401098,0.924122180302529,0.939521132663514,"No-DILI-Concern",0.729601813859561,0.406696571511101,1
"7","Loratadine",0.766150767884762,-1.07739221493194,-0.771773382101949,0.0520378608639035,-1.43522446222536,-1.05252372046002,"No-DILI-Concern",-0.0807867185484526,-1.24670080320325,1
"8","Phentolamine",0.335092112422831,0.275515818176048,0.659163741242384,-0.24160435401098,0.924122180302529,-0.488245980836395,"No-DILI-Concern",-0.608767126026401,-1.16238618557027,1
"9","Chlorpheniramine",0.105680058267971,2.17223108561004,0.659163741242384,-0.24160435401098,0.830622447701259,0.387805321897199,"No-DILI-Concern",-0.293616030089951,-0.516042843507724,1
"10","Fludrocortisone Acetate",-0.386462593459097,0.643478580058242,0.659163741242384,-0.24160435401098,0.924122180302529,0.939521132663514,"No-DILI-Concern",1.74463391505748,-2.29190189646755,1
